Label name,Age Group,Domain,Difficulty name,Question,Question_img,Keyword,Explanation,Answer,Answer_img,Option_1,Option_1_img,Option_2,Option_2_img,Option_3,Option_3_img,Option_4,Option_4_img,ques_type
THO1,Group 1  ,Knowledge Traditions,beginner,Name the oldest Veda composed about 3500 years ago.,,,,4,,Samaveda,,Ramayana,,Yajurveda,,Rigveda,,1
THO1,Group 1,Knowledge Traditions,beginner,The most easily recognisable constellation is the Saptarishi. What is the meaning of Saptarishi?,,,,4,,Six sages,,Holy sages,,Immortal sages,,Seven sages,,2
THO1,Group 1,Knowledge Traditions,beginner,Charaka and Sushruta were famous practitioners of which system of health science?,,,,4,,Yunani,,Surgery,,Homeopathy,,Ayurveda,,3
THO1,Group 1,Knowledge Traditions,beginner,"During namaz (prayers), Muslims face the direction of which holy city?",,,,4,,Israel,,Iran,,Jerusalem,,Mecca,,
THO1,Group 1,Knowledge Traditions,beginner,Which martial-art form is found in Kerala?,,,,4,,Silambam,,Adithada,,Gatka,,Kalaripayattu,,
THO1,Group 1,Knowledge Traditions,beginner,Which religion played a major role in the spread of Ayurveda outside of India?,,,,4,,Hinduism,,Jainism,,Islam,,Buddhism,,
THO1,Group 1,Knowledge Traditions,intermediate,Which metal was mixed with copper to produce bronze during Harappan civilization?,,,,4,,Steal,,Aluminium,,Iron,,Tin,,
THO1,Group 1,Knowledge Traditions,intermediate,Where was the Siddha medicine system developed?,,,,4,,Karntaka,,Andhra Pradesh,,Kerala,,Tamil Nadu,,
THO1,Group 1,Knowledge Traditions,advance,Surdas and Mirabai were ardent devotees of which Hindu god?,,,,4,,Shiva,,Vishnu,,Hanuman,,Krishna,,
THO1,Group 1,Knowledge Traditions,advance,Name the Sanskrit text by Aryabhata that stated that day and night were caused by the rotation of the earth on its axis.,,,,4,,Rajatarangini,,Gita Govinda,,Surya Siddhanta,,Aryabhatiyam,,
THO1,Group 1,Languages & Literature,beginner,Identify the language used by Buddha for his teachings.,,,,4,,Sanskriti,,Khadi boli,,Hindvi,,Prakrit,,
THO1,Group 1,Languages & Literature,beginner,_________ is the religious scripture of the Parsis.,,,,4,,Agamas,,Quran,,Tripitaka,,Zenda Avestha,,
THO1,Group 1,Languages & Literature,beginner,Who is supposed to have composed the epic Mahabharata?,,,,4,,Panini,,Charaka,,Bharata Muni,,Ved Vyasa,,
THO1,Group 1,Languages & Literature,beginner,"Which out of these is a collection of stories, with morals about animals that was written during the Gupta period?",,,,4,,Aesop's Fables,,Kathasaritsagara,,Hitopadesha,,Panchatantra,,
THO1,Group 1,Languages & Literature,beginner,Wings of Fire is the autobiography of ___________.,,,,4,,Rabindranath Tagore,,None of these,,Pranab Mukherjee,,A. P. J. Abdul Kalam,,
THO1,Group 1,Languages & Literature,beginner,Which Arabic term means ruler?,,,,4,,Samanta,,Wazir,,Hind,,Sultan,,
THO1,Group 1,Languages & Literature,intermediate,Name the scholar who prepared grammar for Sanskrit language?,,,,4,,Shankaracharya,,Shaunaka,,Chanakya,,Panini,,
THO1,Group 1,Languages & Literature,intermediate,"In the past, books were written by hand, often preserved in temples and monasteries. What are they called?",,,,4,,Lithographs,,Vedas,,Patralekhas,,Manuscripts,,
THO1,Group 1,Languages & Literature,advance,Biography of the Buddha titled ____________ was composed by the poet Ashvaghosha .,,,,4,,Buddhanama,,Buddha Harita,,Sangam,,Buddhacharita,,
THO1,Group 1,Languages & Literature,advance,"Name the book compiled by Chanakya, who was a court official of Chandragupta's reign.",,,,4,,Harshacharita,,Samaveda,,Surya Siddhanta,,Arthashastra,,
THO2,Group 2,Performing Arts,beginner,Theyyam is a folk dance form of which state of India?,,,,4,,Karnataka,,Telangana,,Tamil Nadu ,,Kerala,,
THO1,Group 1,Performing Arts,beginner,Which of the following is not a wind instrument?,,,,4,,Shehnai,,Bansuri,,Nadasvaram,,Mizhavu,,
THO1,Group 1,Performing Arts,beginner,Which form of puppetry is kathputli?,,,,4,,Shadow,,Rod,,Glove,,String,,
THO1,Group 1,Performing Arts,beginner,Gwalior Gharana is known for which art form?,,,,4,,Style of dance,,Style of puppetry,,Style of theatre,,Style of music,,
THO1,Group 1,Performing Arts,beginner,"Name the ancient text that is a major source for dance, drama and theatre?",,,,4,,Silapaddikaram,,Manimekhalai,,Ramayana,,Natyashastra,,
THO1,Group 1,Performing Arts,beginner,Ragas can be classified according to seasons. True or false?,,,,4,,,,FALSE,,,,TRUE,,
THO1,Group 1,Performing Arts,intermediate,Is Manipuri dance form recognised as a classical dance?,,,,4,,,,No,,,,Yes,,
